"","player","nationality","position","squad","age","value","height","foot","games","minutes","goals","assists","pens_made","cards_yellow","cards_red","passes.pct","clean.sheets","popularity","p2","p1","p0","rank"
"1677","Elif Elmas","mk MKD","MF","Napoli",19,18000000,182,"0",26,1134,1,1,0,7,0,90.9,0,6.9,1,0,0,2
"1679","Elseid Hysaj","al ALB","DF","Napoli",25,13000000,182,"0",20,1481,1,2,0,3,0,84.5,0,3.98,0,0,0,2
"1680","Lorenzo Insigne","it ITA","FW","Napoli",28,48000000,163,"0",37,2810,8,6,5,1,0,81.3,0,5.35,0,0,1,2
"1681","Kalidou Koulibaly","sn SEN","DF","Napoli",28,56000000,187,"0",25,2105,0,0,0,7,1,92.1,0,5.15,0,0,0,2
"1683","Stanislav Lobotka","sk SVK","MF","Napoli",24,16000000,172,"1",14,752,0,0,0,0,0,87.9,0,10.23,1,0,0,2
"1684","Hirving Lozano","mx MEX","FW","Napoli",24,28000000,175,"0",26,1025,4,1,0,3,0,76.7,0,4.45,0,0,1,2
"1686","Nikola MaksimoviÄ‡","rs SRB","DF","Napoli",27,18000000,193,"0",22,1799,1,1,0,3,1,92.7,0,11.2,0,0,0,2
"1687","KĂ©vin Malcuit","ma MAR","DF","Napoli",28,12000000,178,"0",4,256,0,0,0,0,0,81.6,0,3.12,0,0,0,2
"1688","Kostas Manolas","gr GRE","DF","Napoli",28,32000000,189,"0",26,2176,4,0,0,2,0,92.8,0,2.63,0,0,0,2
"1689","Alex Meret","it ITA","GK","Napoli",22,28000000,190,"0",22,1951,0,0,0,0,0,84.5,3,9.65,0,1,0,2
"1690","Dries Mertens","be BEL","FW","Napoli",32,20000000,169,"0",31,1689,9,7,0,5,0,75.2,0,16.68,0,0,1,2
"1691","Arkadiusz Milik","pl POL","FW","Napoli",25,32000000,186,"0",26,1747,11,0,0,5,0,82.9,0,4.7,0,0,1,2
"1694","MĂˇrio Rui","pt POR","DF","Napoli",28,12000000,168,"0",24,1966,0,2,0,8,0,82.8,0,10,0,0,0,2
"1695","FabiĂˇn Ruiz PeĂ±a","es ESP","MF","Napoli",23,50000000,189,"0",33,2684,3,6,0,2,0,90,0,4.93,1,0,0,2
"1697","Piotr ZieliĹ„ski","pl POL","MF","Napoli",25,32000000,180,"1",37,2924,2,4,0,4,0,87.2,0,5.1,1,0,0,2
"1883","Roberto Inglese","it ITA","FW","Parma",27,12000000,186,"0",17,766,4,0,0,1,0,66.7,0,18.53,0,0,1,2
"1886","Dejan Kulusevski","se SWE","FW","Parma",19,31000000,186,"0",36,2930,10,8,1,3,0,78.2,0,6.25,0,0,1,2
"2028","Bryan Cristante","it ITA","MF","Roma",24,20000000,186,"0",26,1616,1,3,0,7,1,85.4,0,4.1,1,0,0,2
"2029","Amadou Diawara","gn GUI","MF","Roma",22,18000000,183,"0",22,1518,1,1,1,4,0,89.2,0,6.7,1,0,0,2
"2030","Edin DĹľeko","ba BIH","FW","Roma",33,10000000,193,"0",35,2854,16,7,0,4,0,69.5,0,2.52,0,0,1,2
"2032","Alessandro Florenzi","it ITA","DF","Roma",28,16000000,173,"0",14,997,0,1,0,5,0,75.5,0,7.18,0,0,0,2
"2034","Roger Ibanez","br BRA","DF","Roma",20,15000000,186,"0",9,614,0,0,0,1,0,90.5,0,7.9,0,0,0,2
"2037","Justin Kluivert","nl NED","FW","Roma",20,22000000,171,"1",22,1514,4,1,0,6,1,81.6,0,5.23,0,0,1,2
"2039","Pau LĂłpez","es ESP","GK","Roma",24,19000000,189,"0",32,2880,0,0,0,3,0,78.7,5,5.43,0,1,0,2
"2040","Gianluca Mancini","it ITA","DF","Roma",23,22000000,190,"0",32,2740,1,0,0,16,1,89.3,0,9.4,0,0,0,2
"2043","Henrikh Mkhitaryan","am ARM","MF","Roma",30,20000000,177,"1",22,1530,9,5,0,5,0,83.7,0,5.6,1,0,0,2
"2045","Lorenzo Pellegrini","it ITA","MF","Roma",23,32000000,186,"1",27,2097,1,9,0,8,1,75.9,0,12.13,1,0,0,2
"2050","Chris Smalling","eng ENG","DF","Roma",29,16000000,194,"0",30,2566,3,2,0,3,0,90.7,0,6.58,0,0,0,2
"2051","Leonardo Spinazzola","it ITA","DF","Roma",26,14000000,186,"0",24,1548,1,2,0,2,0,79.9,0,1.4,0,0,0,2
"2052","Cengiz Ăśnder","tr TUR","FW","Roma",22,24000000,173,"0",18,873,3,0,0,2,0,70.5,0,29.2,0,0,1,2
"2053","Jordan Veretout","fr FRA","MF","Roma",26,20000000,177,"0",33,2629,6,0,5,6,0,87.2,0,2.75,1,0,0,2
"2055","NicolĂ˛ Zaniolo","it ITA","FW","Roma",20,45000000,190,"0",26,1503,6,2,0,8,0,79.6,0,7.15,0,0,1,2
"2056","Davide Zappacosta","it ITA","DF","Roma",27,12000000,182,"0",9,452,0,1,0,0,0,81.3,0,4.8,0,0,0,2
